grid_id,center_lat,center_lng,sw_lat,sw_lng,ne_lat,ne_lng
208,37.529539,126.959142,37.529313,126.958858,37.529764,126.959426
209,37.529539,126.95971,37.529313,126.959426,37.529764,126.959994
210,37.529539,126.960278,37.529313,126.959994,37.529764,126.960562
211,37.529539,126.960846,37.529313,126.960562,37.529764,126.961131
212,37.529539,126.961415,37.529313,126.961131,37.529764,126.961699
213,37.529539,126.961983,37.529313,126.961699,37.529764,126.962267
214,37.529539,126.962551,37.529313,126.962267,37.529764,126.962835
215,37.529539,126.963119,37.529313,126.962835,37.529764,126.963404
216,37.529539,126.963688,37.529313,126.963404,37.529764,126.963972
217,37.529539,126.964256,37.529313,126.963972,37.529764,126.96454
218,37.529539,126.964824,37.529313,126.96454,37.529764,126.965108
219,37.529539,126.965392,37.529313,126.965108,37.529764,126.965676
220,37.529539,126.965961,37.529313,126.965676,37.529764,126.966245
221,37.529539,126.966529,37.529313,126.966245,37.529764,126.966813
222,37.529539,126.967097,37.529313,126.966813,37.529764,126.967381
223,37.529539,126.967665,37.529313,126.967381,37.529764,126.967949
224,37.529539,126.968234,37.529313,126.967949,37.529764,126.968518
225,37.529989,126.955732,37.529764,126.955448,37.530214,126.956016
226,37.529989,126.9563,37.529764,126.956016,37.530214,126.956585
227,37.529989,126.956869,37.529764,126.956585,37.530214,126.957153
228,37.529989,126.957437,37.529764,126.957153,37.530214,126.957721
229,37.529989,126.958005,37.529764,126.957721,37.530214,126.958289
230,37.529989,126.958573,37.529764,126.958289,37.530214,126.958858
231,37.529989,126.959142,37.529764,126.958858,37.530214,126.959426
232,37.529989,126.95971,37.529764,126.959426,37.530214,126.959994
233,37.529989,126.960278,37.529764,126.959994,37.530214,126.960562
234,37.529989,126.960846,37.529764,126.960562,37.530214,126.961131
235,37.529989,126.961415,37.529764,126.961131,37.530214,126.961699
236,37.529989,126.961983,37.529764,126.961699,37.530214,126.962267
237,37.529989,126.962551,37.529764,126.962267,37.530214,126.962835
238,37.529989,126.963119,37.529764,126.962835,37.530214,126.963404
239,37.529989,126.963688,37.529764,126.963404,37.530214,126.963972
240,37.529989,126.964256,37.529764,126.963972,37.530214,126.96454
241,37.529989,126.964824,37.529764,126.96454,37.530214,126.965108
242,37.529989,126.965392,37.529764,126.965108,37.530214,126.965676
243,37.529989,126.965961,37.529764,126.965676,37.530214,126.966245
244,37.529989,126.966529,37.529764,126.966245,37.530214,126.966813
245,37.529989,126.967097,37.529764,126.966813,37.530214,126.967381
246,37.529989,126.967665,37.529764,126.967381,37.530214,126.967949
247,37.529989,126.968234,37.529764,126.967949,37.530214,126.968518
248,37.53044,126.955164,37.530214,126.95488,37.530665,126.955448
249,37.53044,126.955732,37.530214,126.955448,37.530665,126.956016
250,37.53044,126.9563,37.530214,126.956016,37.530665,126.956585
251,37.53044,126.956869,37.530214,126.956585,37.530665,126.957153
252,37.53044,126.957437,37.530214,126.957153,37.530665,126.957721
253,37.53044,126.958005,37.530214,126.957721,37.530665,126.958289
254,37.53044,126.958573,37.530214,126.958289,37.530665,126.958858
255,37.53044,126.959142,37.530214,126.958858,37.530665,126.959426
256,37.53044,126.95971,37.530214,126.959426,37.530665,126.959994
257,37.53044,126.960278,37.530214,126.959994,37.530665,126.960562
