연도,시도,자치구,학교급,설립구분,학교,우편번호,주소,경도,위도
2020,서울특별시,송파구,중학교,공립,석촌중학교,5706,서울특별시 송파구 송이로15길 13,127.1218635,37.50086337
2020,서울특별시,송파구,중학교,공립,세륜중학교,5654,서울특별시 송파구 양재대로72길 41,127.1319075,37.50843273
2020,서울특별시,송파구,중학교,공립,송례중학교,5853,서울특별시 송파구 위례순환로 429,127.1397343,37.47783305
2020,서울특별시,송파구,중학교,공립,송파중학교,5823,서울특별시 송파구 동남로 203,127.1296279,37.49618737
2020,서울특별시,송파구,중학교,공립,신천중학교,5501,서울특별시 송파구 백제고분로 11,127.0777985,37.51571046
2020,서울특별시,송파구,중학교,공립,아주중학교,5572,서울특별시 송파구 올림픽로4길 69,127.0765501,37.50523112
2020,서울특별시,송파구,중학교,공립,오금중학교,5660,서울특별시 송파구 오금로35길 20,127.1288017,37.50527167
2020,서울특별시,송파구,중학교,공립,오륜중학교,5649,서울특별시 송파구 양재대로 1242,127.1389235,37.51632434
2020,서울특별시,송파구,중학교,공립,오주중학교,5728,서울특별시 송파구 동남로 281,127.1362654,37.50150683
2020,서울특별시,송파구,중학교,공립,잠신중학교,5502,서울특별시 송파구 잠실로 12,127.0879642,37.51521456
2020,서울특별시,송파구,중학교,공립,잠실중학교,5504,서울특별시 송파구 올림픽로35길 130,127.1000922,37.51686625
2020,서울특별시,송파구,중학교,공립,풍납중학교,5506,서울특별시 송파구 올림픽로43길 20,127.1157965,37.52559738
2020,서울특별시,송파구,중학교,공립,풍성중학교,5506,서울특별시 송파구 강동대로2길 27,127.1128845,37.52544023
2020,서울특별시,송파구,중학교,공립,해누리중학교,5698,서울특별시 송파구 송파대로37길 95,127.1021238,37.4984111
2020,서울특별시,송파구,중학교,사립,배명중학교,5598,서울특별시 송파구 삼학사로 11,127.0950505,37.49797695
2020,서울특별시,송파구,중학교,사립,보성중학교,5649,서울특별시 송파구 양재대로 1278,127.1350428,37.51981987
