,교량명,소재지지번주소,교량 위도,교량 경도
8459,반딧불이다리,서울특별시 은평구 진관동 ,37.629676,126.929641
8460,봉원고가차도,서울특별시 서대문구 대신동 ,37.565923999999995,126.946371
8461,삼각지고가차도,서울특별시 용산구 문배동 ,37.53681,126.970305
8462,서소문고가차도,서울특별시 서대문구 미근동 ,37.561614,126.968909
8463,염천교,서울특별시 중구 의주로2가 ,37.559541499999995,126.9707035
8464,은평지문,서울특별시 은평구 진관동 ,37.643793,126.9149405
8465,잠두봉 고가,서울특별시 마포구 합정동 ,37.5458385,126.909517
8466,성산고가차도,서울특별시 마포구 성산동 ,37.568886000000006,126.905984
8467,소월고가차도,서울특별시 용산구 한남동 ,37.543614500000004,127.001597
8468,욱천고가차도,서울특별시 용산구 문배동 ,37.535064000000006,126.9686595
8469,한강로다리,서울특별시 용산구 한강로3가 ,37.5227255,126.96231850000001
8470,한남2고가차도,서울특별시 용산구 한남동 ,37.533455000000004,127.0076485
8471,현저고가차도,서울특별시 서대문구 현저동 ,37.5717705,126.9598995
8472,안암교,서울특별시 동대문구 신설동 ,37.576948,127.027704
8473,제2마장교,서울특별시 성동구 용답동 ,37.568582500000005,127.0467115
8474,군자교,서울특별시 동대문구 장안동 ,37.560100500000004,127.07196
8475,성동교,서울특별시 성동구 성수동1가 ,37.5527885,127.04387550000001
8476,전농교,서울특별시 동대문구 장안동 ,37.563898,127.0566935
8477,동진교,서울특별시 동대문구 용두동 ,37.573933,127.028064
8478,제1제기교,서울특별시 동대문구 제기동 ,37.5865695,127.03642450000001
8479,제2제기교,서울특별시 동대문구 제기동 ,37.5881975,127.037294
8480,종암교,서울특별시 동대문구 제기동 ,37.591280499999996,127.038795
8481,먹골교,서울특별시 중랑구 묵동 ,37.620098999999996,127.085139
8482,신내교,서울특별시 중랑구 망우동 ,37.6132195,127.1013175
8483,장평교,서울특별시 광진구 중곡동 ,37.5718685,127.07818
8484,청량제1고가차도,서울특별시 동대문구 휘경동 ,37.587927,127.054685
8485,청량제2고가차도,서울특별시 동대문구 전농동 ,37.585454,127.0519575
8486,행당고가차도,서울특별시 성동구 행당동 ,37.558102500000004,127.03922750000001
8487,이문고가교,서울특별시 동대문구 이문동 ,37.602135000000004,127.0674085
8488,뚝섬고가차도,서울특별시 성동구 성수동1가 ,37.5380425,127.04359500000001
8489,신답고가차도,서울특별시 동대문구 답십리동 ,37.570949999999996,127.049788
8490,살곶이화해교,서울특별시 성동구 행당동 ,37.553934,127.0456875
8491,정릉천교,서울특별시 동대문구 용두동 ,37.5723025,127.03555449999999
8493,장안교,서울특별시 중랑구 면목동 ,37.580535499999996,127.0767855
8495,금호고가차도,서울특별시 성동구 금호동4가 ,37.5446975,127.02449899999999
8496,안양천교,서울특별시 강서구 염창동 ,37.55416099999999,126.876802
8498,난지교,서울특별시 마포구 상암동 ,37.575769,126.86151000000001
8499,고덕천교,서울특별시 강동구 고덕동 ,37.570769,127.1577705
8500,성내천교,서울특별시 송파구 신천동 ,37.52403700000001,127.10176200000001
8501,반포천교,서울특별시 동작구 동작동 ,37.505496,126.978562
8502,난지중앙연결 브릿지,서울특별시 마포구 상암동 ,37.5678275,126.878276
8503,만초천교,서울특별시 용산구 이촌동 ,37.530184000000006,126.9516895
8504,홍제천교,서울특별시 마포구 상암동 ,37.5588425,126.89229499999999
8505,봉원천교,서울특별시 마포구 신정동 ,37.543262999999996,126.929285
8506,중랑천교,서울특별시 성동구 금호동4가 ,37.5452565,127.03107600000001
8507,동빙고다리,서울특별시 용산구 주성동 ,37.5202965,126.996144
8508,두모교,서울특별시 용산구 한남동 ,37.531009,127.010778
8509,반포북단교,서울특별시 용산구 서빙고동 ,37.5195325,126.99419950000001
8510,서빙고고가차도,서울특별시 용산구 보광동 ,37.523601,127.00153
8511,서빙고다리,서울특별시 용산구 서빙고동 ,37.516324,126.9863795
8512,새남터다리,서울특별시 용산구 이촌동 ,37.525047,126.95421
8513,뚝도1교,서울특별시 성동구 성수동1가 ,37.55089,127.039761
8514,뚝도2교,서울특별시 성동구 성수동1가 ,37.551241000000005,127.0406665
8515,군자하단IC교,서울특별시 성동구 송정동 ,37.557443,127.06942950000001
8516,송정교,서울특별시 성동구 송정동 ,37.5546775,127.0667785
8517,아차산대교,서울특별시 광진구 광장동 ,37.555603000000005,127.114238
8518,자양고가교,서울특별시 광진구 자양동 ,37.5290635,127.08894000000001
8519,중랑상단IC교,서울특별시 중랑구 중화동 ,37.5956925,127.0695365
8520,군자상단IC교,서울특별시 광진구 중곡동 ,37.563578,127.0741575
8521,중랑하단IC교,서울특별시 중랑구 면목동 ,37.589646,127.07097949999999
8522,면목천교,서울특별시 중랑구 면목동 ,37.5768955,127.078913
8523,묵동천교,서울특별시 중랑구 묵동 ,37.61546,127.0722455
8524,신내1교,서울특별시 중랑구 신내동 ,37.615896,127.10237749999999
8525,월릉I.C 화랑로 접속램프,서울특별시 중랑구 묵동 ,37.615789500000005,127.072853
8526,돌곶이교,서울특별시 성북구 석관동 ,37.613718500000004,127.070678
8527,월릉하단IC교,서울특별시 중랑구 묵동 ,37.611357,127.0715955
8528,북부고가교,서울특별시 성북구 종암동 ,37.6062795,127.0155765
8529,공대천교,서울특별시 노원구 공릉동 ,37.6247015,127.0702325
8530,월릉상단IC교,서울특별시 노원구 공릉동 ,37.6199095,127.071117
8531,당현4교,서울특별시 노원구 상계동 ,37.638255,127.0593655
8532,수락고가교,서울특별시 노원구 상계동 ,37.678501,127.05147099999999
8533,망원1교,서울특별시 마포구 상암동 ,37.55959,126.8932715
8534,망원2교,서울특별시 마포구 상암동 ,37.5592045,126.8928025
8535,망원3교,서울특별시 마포구 상암동 ,37.559183000000004,126.8926455
8536,망원4교,서울특별시 마포구 상암동 ,37.5591065,126.892561
8537,망원5교,서울특별시 마포구 상암동 ,37.559017,126.89242949999999
8538,홍제천고가교,서울특별시 마포구 상암동 ,37.558234999999996,126.8969515
8539,염창IC교,서울특별시 영등포구 양화동 ,37.5512825,126.8787865
8540,염창교,서울특별시 강서구 염창동 ,37.5533935,126.877049
8541,노량대교,서울특별시 동작구 흑석동 ,37.511092500000004,126.9623875
